Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
29-Oct-12,919.45,934.90,912.90,929.60,259124,240312438.1
30-Oct-12,930.00,937.85,919.10,933.75,235427,218973557.5
31-Oct-12,940.00,953.90,931.10,948.45,322725,304355852.3
01-Nov-12,947.00,954.45,940.00,943.30,172376,163301812.1
02-Nov-12,947.00,966.40,945.25,951.60,298799,286157615.3
05-Nov-12,945.00,962.90,930.00,955.45,386345,368734792.3
06-Nov-12,995.00,995.00,959.90,963.30,582244,565327925.5
07-Nov-12,964.00,975.95,956.10,969.10,256866,248758147.7
08-Nov-12,962.60,965.00,950.00,954.65,208408,199386989.8
09-Nov-12,959.00,961.00,937.10,939.05,171898,162465354.3
12-Nov-12,936.00,950.00,934.00,947.65,120736,113915030.5
13-Nov-12,947.00,950.00,941.00,944.60,25935,24533323.15
15-Nov-12,939.45,943.05,913.00,918.20,193844,178842989.3
16-Nov-12,918.00,927.45,905.35,910.90,277278,254889666.2
19-Nov-12,910.80,916.95,872.65,883.25,601239,533006187.7
20-Nov-12,886.25,898.65,872.00,884.20,319928,283977682
21-Nov-12,889.50,907.40,867.10,904.65,374216,334515189.8
22-Nov-12,904.90,915.40,889.30,910.10,285231,257610718.9
23-Nov-12,918.55,918.55,898.50,903.65,196069,177826803.5
26-Nov-12,907.75,913.90,904.30,907.90,196619,178620455.3
27-Nov-12,907.90,913.50,882.05,894.10,471210,421665069.8
29-Nov-12,885.00,895.25,875.50,880.70,593562,524704902.2
30-Nov-12,876.05,897.65,867.60,880.10,693893,612011736.1
03-Dec-12,882.15,902.20,878.40,891.90,456610,409091389.7
04-Dec-12,893.05,900.50,885.00,889.05,221586,197651911.3
05-Dec-12,897.75,897.75,878.10,887.85,225002,199457511
06-Dec-12,888.00,890.95,877.15,882.35,216167,190668473
07-Dec-12,874.00,893.30,865.50,880.35,575874,507276199.6
10-Dec-12,880.00,886.00,869.00,874.15,279607,245448289.9
11-Dec-12,870.05,889.80,870.00,879.50,420793,370544796.4
12-Dec-12,877.00,931.55,875.00,914.10,4117334,3751087880
13-Dec-12,915.00,924.75,908.50,918.35,895200,821563114.4
14-Dec-12,903.00,951.85,903.00,948.20,896938,838377938.7
17-Dec-12,952.00,956.50,925.00,952.70,1043536,980603053.7
18-Dec-12,952.75,954.20,940.00,946.55,294782,278787225
19-Dec-12,949.95,966.90,941.05,944.45,559272,534064175.9
20-Dec-12,946.55,947.95,921.60,926.15,1202384,1118332353
21-Dec-12,921.65,933.00,903.30,906.40,404458,372123118.7
24-Dec-12,914.85,923.00,898.35,903.65,270783,246849986.7
26-Dec-12,903.65,919.90,903.65,914.75,234815,214261438.9
27-Dec-12,915.10,936.75,909.50,919.65,1128749,1039335287
28-Dec-12,929.40,929.40,912.80,920.75,225220,207088945.3
31-Dec-12,929.90,934.90,919.00,932.25,377408,350059784.4
01-Jan-13,938.65,938.65,929.25,933.65,135982,126985437.7
02-Jan-13,933.00,942.20,925.35,939.70,299961,281321690.4
03-Jan-13,929.15,957.05,929.15,941.35,284704,269091513.4
04-Jan-13,944.95,957.55,927.50,942.50,274905,257741060.5
07-Jan-13,949.40,949.40,921.25,927.05,247444,230994228.6
08-Jan-13,925.90,929.80,912.50,926.40,249130,229621532.9
09-Jan-13,931.60,944.85,926.55,939.40,314177,294520976.1
10-Jan-13,947.35,984.75,945.25,975.60,1215236,1179002264
11-Jan-13,982.45,1011.95,979.00,989.35,868218,865068816.6
14-Jan-13,991.00,1009.00,980.00,1002.00,777042,775378739.8
15-Jan-13,1008.35,1021.75,993.05,999.80,586325,590971667.9
16-Jan-13,995.25,1014.70,985.75,997.90,639505,640657061.2
17-Jan-13,1000.05,1027.95,997.00,1018.40,1046927,1067968376
18-Jan-13,1020.00,1026.90,992.70,998.95,457976,462115754
21-Jan-13,1002.05,1017.00,994.15,1004.35,406940,410245206.8
22-Jan-13,998.15,1006.80,977.50,980.80,480153,476396255.6
23-Jan-13,981.05,982.00,964.25,967.00,341359,331218225.9
24-Jan-13,969.55,1015.50,966.00,990.55,765640,762325576.5
25-Jan-13,992.05,1010.00,984.00,1006.50,434381,435697836
28-Jan-13,1009.65,1031.60,1001.50,1016.05,579011,591562903.5
29-Jan-13,1017.90,1023.35,994.80,1001.55,275227,277285219.9
30-Jan-13,1010.00,1020.90,1002.25,1011.00,459150,465312976.5
31-Jan-13,1011.40,1023.00,992.25,998.95,386523,388331708.6
01-Feb-13,998.95,1015.00,993.00,1004.80,403923,405700770.2
04-Feb-13,1003.00,1013.90,985.00,990.35,103140,102698727.9
05-Feb-13,992.05,995.50,958.00,966.55,175079,169462703.9
06-Feb-13,968.05,991.60,968.05,979.55,367948,361373188.2
07-Feb-13,980.15,1004.85,975.00,989.90,728181,724033205.1
08-Feb-13,995.00,1019.50,961.60,1001.95,709380,713167085.9
11-Feb-13,1004.95,1011.00,965.55,999.30,367047,367035503.6
12-Feb-13,995.85,1004.90,971.95,990.05,338041,335099341.2
13-Feb-13,995.00,1005.00,986.95,1000.60,477646,477125875.2
14-Feb-13,999.95,1016.00,999.95,1002.00,410358,413190252.3
15-Feb-13,1010.00,1010.00,968.40,998.65,510521,502477997
18-Feb-13,999.30,999.35,983.00,986.60,262786,260008624.2
19-Feb-13,989.75,1040.95,983.90,1034.50,633876,642948520.2
20-Feb-13,1038.90,1069.45,1038.90,1052.25,1342981,1413618732
21-Feb-13,1044.95,1062.90,1034.45,1038.10,768765,808470819.1
22-Feb-13,1034.00,1050.90,1031.05,1039.45,415286,433516454.2
25-Feb-13,1039.50,1059.00,1030.70,1038.00,420970,440423473.7
26-Feb-13,1036.70,1044.50,1022.15,1026.70,206099,213189326.2
27-Feb-13,1030.00,1047.80,1024.15,1028.70,447309,465015866.8
28-Feb-13,1029.95,1070.00,1029.95,1051.05,922977,974220350
01-Mar-13,1052.00,1112.00,1052.00,1103.00,1251111,1369946643
04-Mar-13,1109.00,1119.00,1078.30,1085.80,552907,607205214.7
05-Mar-13,1105.00,1107.40,1065.05,1067.70,403784,435370054.4
06-Mar-13,1073.80,1096.80,1073.80,1079.60,581739,632006353.4
07-Mar-13,1080.00,1112.65,1075.10,1096.25,902105,993701615.5
08-Mar-13,1099.90,1123.10,1099.90,1110.40,675752,753115037.9
11-Mar-13,1118.95,1122.80,1098.15,1108.20,593860,658524991.3
12-Mar-13,1111.00,1114.95,1095.00,1097.40,446477,491283563.7
13-Mar-13,1090.10,1099.25,1078.20,1085.10,363012,394573270.2
14-Mar-13,1079.05,1108.00,1079.05,1104.30,346131,380531809.6
15-Mar-13,1100.00,1117.60,1095.35,1102.00,359560,397543780.1
18-Mar-13,1098.50,1104.50,1086.80,1089.90,298550,326726828.6
19-Mar-13,1098.00,1110.00,1086.00,1090.70,396754,435345319.2
20-Mar-13,1090.70,1095.30,1065.10,1068.60,269401,288938009.6
21-Mar-13,1074.95,1082.70,1060.00,1064.85,274875,294362410.4
22-Mar-13,1063.00,1068.35,1041.10,1047.60,284267,298485558.3
25-Mar-13,1055.00,1063.05,1037.50,1045.85,385581,404278777.1
26-Mar-13,1042.10,1047.80,1015.25,1039.15,309251,319475263.3
28-Mar-13,1044.35,1077.00,1036.90,1059.50,1000599,1062087767
01-Apr-13,1056.25,1073.95,1052.05,1061.15,186945,198390955.8
02-Apr-13,1068.75,1068.75,1019.50,1026.20,505141,521364424.6
03-Apr-13,1017.30,1035.00,972.50,977.05,653099,652419051.5
04-Apr-13,976.00,992.90,962.65,977.00,861696,842428354.9
05-Apr-13,982.90,982.90,957.10,961.85,297161,287302079.9
08-Apr-13,965.80,991.40,963.50,983.95,446856,438752216.5
09-Apr-13,992.15,993.85,963.25,967.15,354369,347282773.3
10-Apr-13,976.10,1005.00,968.05,998.55,263937,260522231.6
11-Apr-13,1005.00,1010.00,982.25,996.70,223051,222658388.8
12-Apr-13,970.00,988.50,953.15,980.00,382689,373904440.7
15-Apr-13,974.00,982.75,965.00,969.95,191632,186346325.4
16-Apr-13,969.00,980.00,961.00,972.65,194213,188761781.2
17-Apr-13,977.80,982.90,952.00,955.20,207624,200910789.8
18-Apr-13,955.05,955.05,936.50,950.30,181587,171561023.4
22-Apr-13,940.00,963.00,925.25,930.90,279713,261593123
23-Apr-13,928.70,949.50,906.80,924.10,340227,314833474.8
25-Apr-13,925.00,933.90,915.45,927.55,611835,565772642.1
26-Apr-13,929.00,946.50,921.00,926.30,308193,287650856
29-Apr-13,930.70,954.00,924.05,945.80,213693,201873807.4
30-Apr-13,945.00,963.75,928.20,953.25,304358,287564379.7
02-May-13,958.95,979.00,958.95,965.65,283552,275208175.7
03-May-13,966.50,993.80,958.10,986.65,361962,354342820.9
06-May-13,989.90,1012.80,986.65,1001.65,519786,520087771.9
07-May-13,1006.85,1018.00,999.35,1005.55,211072,212878460.8
08-May-13,1008.00,1014.75,978.00,983.80,302895,301999587.3
09-May-13,983.80,991.25,978.15,983.40,189634,186923690
10-May-13,985.00,989.90,968.00,976.05,141511,138110143.7
11-May-13,974.00,997.00,972.00,994.80,52368,51960144.9
13-May-13,997.95,1003.65,950.35,954.85,247470,240439133.3
14-May-13,957.00,974.00,951.55,958.45,253343,243228638.5
15-May-13,962.25,967.95,941.50,954.00,549217,523519135.4
16-May-13,952.00,960.00,937.55,942.30,325330,308008789.9
