Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
15-Sep-16,319.05,325,316.9,322.7,2074012,666480820.2
16-Sep-16,322.1,326.5,321.1,323.6,3230892,1045700784
19-Sep-16,323,325,321.05,324.15,1529681,494664610.9
20-Sep-16,324,324,317.7,319.2,2739997,876061397.1
21-Sep-16,320.4,323,318.8,321.85,1663305,533772975.1
22-Sep-16,323.6,327.95,322.65,327,1480515,482184258.5
23-Sep-16,326,330,324,326.95,2135834,700527233.2
26-Sep-16,326,328.7,319.1,320.35,2155103,692007530.3
27-Sep-16,321.9,321.9,314.05,314.8,2244406,709713753.4
28-Sep-16,313.55,323.45,311.1,321.75,2941322,936808182.2
29-Sep-16,322.5,323.7,314.1,315.7,6256119,1980462838
30-Sep-16,315.75,316.5,308.1,314,5727632,1786600452
03-Oct-16,314,320,314,318.7,1507552,479239488.3
04-Oct-16,317.5,324.85,316.1,324,2621167,841661589.6
05-Oct-16,322,326.15,320.6,321.7,1297532,420246969.7
06-Oct-16,324.95,325.25,319.1,322.3,1569393,505909857.9
07-Oct-16,322.6,324.45,317.2,319.45,1331294,426154014.5
10-Oct-16,318.1,319.9,315,315.9,2421849,765983978.3
13-Oct-16,312.95,313.9,305.5,306.75,3100457,960833883.9
14-Oct-16,307.9,307.9,302.4,305.4,4894941,1489636480
17-Oct-16,305.4,305.85,296.25,301.3,3406493,1023133931
18-Oct-16,302,308,297.05,306.65,4599085,1388495945
19-Oct-16,306.65,309.45,304,306.95,4572957,1402806488
20-Oct-16,307.1,310.5,305,309.1,4768039,1469609145
21-Oct-16,311.4,311.4,305.6,309.75,2129413,656507090.6
24-Oct-16,306.35,308,303.65,306.65,1969377,602991199.3
25-Oct-16,303.5,312.4,301.7,311.8,3627374,1112973226
26-Oct-16,315,322.9,314.8,317.7,5893311,1879447709
27-Oct-16,314.55,325.65,313.6,323.1,5061205,1624633768
28-Oct-16,322.95,322.95,318.25,318.85,1411617,451073532.3
30-Oct-16,319,321.5,318.05,318.7,195586,62478174.95
01-Nov-16,318,320.7,316.25,317.45,2161829,687010392.9
02-Nov-16,315.5,315.6,308.65,309.6,2002267,626519299.9
03-Nov-16,309,315.35,305.3,308.95,2693912,835118518.9
04-Nov-16,309.75,310.55,304.05,306.7,2141519,656843480.1
07-Nov-16,311.9,311.9,303.7,305.6,1664774,509901056.6
08-Nov-16,306.6,306.75,301,304.9,1376855,418497097.7
09-Nov-16,288,305,283.05,301,5110029,1516810910
10-Nov-16,305,314.1,303.25,308.65,2875894,891214642
11-Nov-16,304,307.95,298.35,301.4,1699888,512442351.1
15-Nov-16,303,304.9,294,302.65,2806881,839988929.2
16-Nov-16,305.05,311.35,303.3,309.65,2475716,763056713.4
17-Nov-16,311.4,315.6,295.15,297.15,3818257,1155958111
18-Nov-16,298.4,304.45,295.25,303.75,3281707,987371293.8
21-Nov-16,304.4,305.55,297.45,299.5,1645883,493086286
22-Nov-16,301,305.45,295,303.95,2998820,900361970.2
23-Nov-16,305.45,308.25,299.15,300.55,1775708,536229123
24-Nov-16,301,304.7,298.4,302.4,4321906,1301506127
25-Nov-16,302.9,306,298.65,301,1891865,569192333.5
28-Nov-16,301,321.2,301,318.8,4403979,1383809184
29-Nov-16,320.8,326,316.8,324.85,4070382,1314564169
30-Nov-16,325,326.8,323.8,324.6,4500415,1462207334
01-Dec-16,324,324.8,313.55,318.2,6420823,2048478722
02-Dec-16,315,321.3,314.3,318.6,1654720,527152021.8
05-Dec-16,317.5,328.65,317.5,326.75,2236218,727293813.7
06-Dec-16,326.9,331.95,324.75,328.85,2832195,933543466.5
07-Dec-16,329.7,334.95,325.1,328.15,2613278,861895569.8
08-Dec-16,330.8,334,328.4,332.45,1857785,616688152.8
09-Dec-16,334.15,337.45,329.1,332,2385084,792305649.4
12-Dec-16,329.5,330,326.55,329.15,698605,229724713.5
13-Dec-16,326,330.95,326,330,958820,315803677.8
14-Dec-16,328.1,329.75,321.5,322.6,1335121,434465276.3
15-Dec-16,320.8,322.35,317.5,318.45,2769795,884141499.2
16-Dec-16,319,319.6,308.45,310.25,3967065,1238795164
19-Dec-16,310.4,311.5,304.1,305.5,3718597,1141432623
20-Dec-16,306,306.75,299.1,302.55,3241008,977365715.8
21-Dec-16,304.1,306.35,300,301.7,2389833,724372712.8
22-Dec-16,299.5,300.95,290.25,292.25,2844538,838813074.1
23-Dec-16,295.4,297.15,291.15,295.55,1845279,543644245.2
26-Dec-16,294.5,297,288.7,296.1,2451002,719843402.4
27-Dec-16,296,300.8,291.15,299.6,2296599,679366189.5
28-Dec-16,299,303.1,296.8,299.5,2613061,782816811.5
29-Dec-16,301.4,304.45,297.5,303,3200839,965518473.6
30-Dec-16,301.3,307.1,300.1,305.65,1761999,533635195.9
02-Jan-17,303.1,312,303.1,311,1480996,458799031.3
03-Jan-17,311.95,313.95,300,304.45,2961851,909723129.4
04-Jan-17,302.4,315.2,299.15,313.9,5205848,1590236922
05-Jan-17,313.15,323,310.05,321.1,3846820,1221853324
06-Jan-17,319.15,330,318.3,319.75,2394583,772089860.9
09-Jan-17,320.6,321.4,316.2,317.95,2374918,755938626.5
10-Jan-17,319,321,317.05,320.1,953689,304500437.6
11-Jan-17,321.1,324.65,318.8,322.75,2352071,757243131.8
12-Jan-17,323.45,325.35,320,321.8,1514369,488386699.4
13-Jan-17,322.4,325,316,320.2,2356032,755471350.6
16-Jan-17,320,323.4,317.3,318.6,1686878,539591842.6
17-Jan-17,318.9,319.8,317.1,318.5,1848476,588122137.3
18-Jan-17,318,318.8,311.25,313.9,3307754,1037798085
19-Jan-17,314,322.6,311,317.1,2277346,724638450.1
20-Jan-17,314.05,327.5,314.05,320.55,3411157,1098232726
23-Jan-17,321,322,315.4,319.65,1789247,570193841.7
24-Jan-17,318,319,314.65,316.5,2157238,682142148.1
25-Jan-17,305,314.7,305,311.35,13456858,4169175949
27-Jan-17,310.3,328,310.3,323.75,3191346,1018683098
30-Jan-17,323.1,369.95,322.1,345.65,20946162,7327928573
31-Jan-17,349.05,353,343.05,348.2,10573672,3687307963
01-Feb-17,346,349.9,340.15,345.1,3698745,1279615427
02-Feb-17,345,359.8,344.25,353.3,6277232,2222768548
03-Feb-17,353.3,362,352.2,353.8,2399709,852337088.4
06-Feb-17,354,356.95,352.65,355.25,1355896,481050410.4
07-Feb-17,354.2,358.8,350.8,353.15,3660915,1297555060
08-Feb-17,355,355.85,346.9,352.2,4405681,1544508031
09-Feb-17,352.05,357,350.8,355.25,1842114,652828725.7
10-Feb-17,357,360.4,355.05,357.55,1986275,709695120.8
13-Feb-17,353.45,360,353.35,358.05,3306745,1180920833
14-Feb-17,357.5,369.9,355,368.95,4271242,1554260831
15-Feb-17,369.9,372.5,360.1,365.3,3582028,1312968506
16-Feb-17,361.3,368.9,360.3,365.7,3650069,1336585770
17-Feb-17,367,372.2,362.3,369.5,2299853,844073253
20-Feb-17,370.15,379,370.15,375.35,3493398,1314922337
21-Feb-17,372.1,377.9,359.5,362.85,6334134,2324234137
22-Feb-17,362.9,372.5,359.1,361,6787592,2472799106
23-Feb-17,371,401,363.7,366.25,35600168,13477887309
27-Feb-17,367,367.45,352.55,355.7,9082281,3251744517
28-Feb-17,357,373.1,356.4,365.15,12156357,4409890539
01-Mar-17,368.55,368.85,361.45,362.75,3448583,1252522366
02-Mar-17,364,366,352.2,356.85,4197805,1508449610
03-Mar-17,356.85,361.5,353.3,356.15,3624580,1292227676
06-Mar-17,360,364,357.2,361.5,2976688,1073065174
07-Mar-17,361,362.45,356.35,361.1,2858176,1028694256
08-Mar-17,360.2,364.1,358.5,360.7,2725867,984100226
09-Mar-17,359.85,361.9,356.65,360.2,1175441,422947616.6
10-Mar-17,360.85,366.5,359.95,364.9,2090743,760023113.4
14-Mar-17,366,369.8,358.6,361.1,5336687,1929365490
15-Mar-17,360,366.15,356.2,363.2,6660091,2409358847
16-Mar-17,364,365.6,359.1,360.65,2407103,868268433.6
17-Mar-17,361.15,363,344,346.85,5748783,2014422625
20-Mar-17,346,352.3,339.25,349.4,4270022,1478767838
21-Mar-17,349,351.8,345.05,349.9,2263133,787933426.3
22-Mar-17,347,348.5,325.8,338.2,8071204,2734797960
23-Mar-17,338.8,341.7,335.55,338.5,4291861,1452573865
24-Mar-17,341.4,347.7,338.2,340.5,4784560,1636274017
27-Mar-17,340,341.85,335.15,338.7,2895389,980142628.9
28-Mar-17,340.9,343.5,338.6,340.75,2087407,711891734.8
29-Mar-17,342.5,346.4,341.2,344.85,8855391,3040765114
30-Mar-17,344.85,352.4,342.2,351.2,3916104,1366820998
31-Mar-17,350,352.3,345,350.05,5215911,1814949026
03-Apr-17,346,346,336.25,341.8,6609750,2248026145
05-Apr-17,342.95,347.25,339.1,344.5,4230271,1454117678
06-Apr-17,343,343,337.6,341.8,2174170,741239067.8
07-Apr-17,344.05,350.45,341.75,344.7,5720486,1991025746
10-Apr-17,348.3,348.4,342.05,345.7,1381119,477038977.4
11-Apr-17,343,355.75,342.85,350.2,2097727,734352786.7
12-Apr-17,347,353.9,345.35,350.8,2279495,797825212.6
13-Apr-17,350,353.5,339.25,340.25,5907728,2025686027
17-Apr-17,342.8,343.3,338.4,341.3,1882937,641413141.7
18-Apr-17,340,343.35,336.3,338.8,5561549,1888456043
19-Apr-17,339.4,341.75,332.75,339.95,2504964,845080005.9
20-Apr-17,342,343.8,338.05,342.75,1890096,644694003.3
21-Apr-17,342,346,340.3,342.8,1352040,464217602.4
24-Apr-17,344,346.45,338.65,344.65,1340716,458863008.1
25-Apr-17,343,359.8,341.4,353.95,4278330,1506560119
26-Apr-17,353.95,360,352,357.55,2949212,1052591345
27-Apr-17,354.25,361.95,353.75,357.9,4486798,1606253803
