Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
9-Feb-18,1118.00,1120.30,1106.00,1109.15,2191345,2438184786
12-Feb-18,1114.80,1120.60,1097.80,1102.80,3145986,3482147220
14-Feb-18,1106.00,1117.30,1090.20,1097.75,4172856,4618905280
15-Feb-18,1103.00,1129.70,1103.00,1114.45,3993368,4468413993
16-Feb-18,1125.00,1141.65,1118.10,1128.05,4944611,5579126434
19-Feb-18,1128.40,1136.00,1120.30,1131.75,3230920,3648227633
20-Feb-18,1103.75,1149.50,1103.75,1136.95,3594297,4101611225
21-Feb-18,1147.50,1151.90,1140.00,1147.40,6885679,7897738207
22-Feb-18,1145.55,1164.00,1140.45,1160.75,8929987,10333995037
23-Feb-18,1163.50,1166.00,1146.75,1155.65,4729914,5477635155
26-Feb-18,1151.00,1155.05,1134.35,1138.60,2541804,2904793410
27-Feb-18,1144.95,1153.65,1125.65,1150.20,3308013,3768101539
28-Feb-18,1147.60,1189.50,1142.55,1172.60,8634208,10120034870
01-Mar-18,1169.60,1169.60,1156.05,1160.75,3289926,3822336358
05-Mar-18,1160.75,1170.80,1143.25,1155.90,4050728,4693511961
06-Mar-18,1162.55,1165.40,1143.60,1151.35,3344867,3872054670
07-Mar-18,1155.00,1160.00,1138.05,1144.10,3185208,3657594848
08-Mar-18,1149.00,1165.80,1149.00,1156.65,3046507,3529721779
09-Mar-18,1162.35,1166.00,1155.55,1163.40,2110482,2453138902
12-Mar-18,1176.00,1191.85,1171.75,1185.75,3838485,4553456409
13-Mar-18,1180.20,1197.00,1175.15,1183.80,4290526,5093652781
14-Mar-18,1180.00,1190.60,1169.10,1180.80,2214855,2614111790
15-Mar-18,1180.00,1188.40,1172.00,1182.50,3050750,3602569982
16-Mar-18,1182.00,1182.40,1169.25,1171.90,8977413,10530177258
19-Mar-18,1164.00,1180.50,1142.65,1146.75,3763310,4353937862
20-Mar-18,1148.60,1170.00,1148.60,1164.55,4276883,4960076508
21-Mar-18,1170.00,1175.50,1162.20,1167.50,3846497,4506270593
22-Mar-18,1164.50,1177.45,1155.30,1161.30,3406584,3977430906
23-Mar-18,1147.00,1173.80,1142.35,1167.60,6004042,6992254285
26-Mar-18,1166.90,1166.90,1144.00,1155.25,4465361,5149317139
27-Mar-18,1160.00,1161.30,1150.10,1154.00,1901044,2194657346
28-Mar-18,1150.75,1150.75,1126.25,1131.80,6279161,7134252851
02-Apr-18,1141.00,1149.55,1121.30,1137.15,4036351,4584716920
03-Apr-18,1134.70,1143.55,1128.10,1140.45,2038584,2314226757
04-Apr-18,1144.00,1144.55,1120.00,1124.20,2406651,2723878713
05-Apr-18,1139.55,1151.30,1129.10,1147.55,3881772,4427993460
06-Apr-18,1143.00,1146.00,1122.10,1127.00,2968871,3351285043
09-Apr-18,1125.00,1125.80,1106.55,1111.25,3601441,4008832077
10-Apr-18,1112.00,1124.50,1105.40,1113.40,4463029,4979728695
11-Apr-18,1118.00,1131.50,1116.50,1124.25,4512787,5075891573
12-Apr-18,1129.45,1172.75,1125.00,1162.60,8522183,9866189147
13-Apr-18,1174.00,1185.90,1150.25,1171.45,10613519,12442924999
16-Apr-18,1102.00,1140.00,1102.00,1133.20,12372542,13927236193
17-Apr-18,1127.00,1127.40,1115.00,1125.20,5198970,5831317996
18-Apr-18,1122.85,1134.75,1113.85,1125.95,5215190,5863305787
19-Apr-18,1124.00,1139.80,1123.10,1132.85,4262771,4828035904
20-Apr-18,1139.00,1193.70,1136.95,1178.45,12136346,14221070742
23-Apr-18,1168.00,1214.40,1155.25,1187.70,10915319,12954180381
24-Apr-18,1185.00,1196.40,1150.10,1154.50,4263108,4982039811
25-Apr-18,1152.00,1171.00,1145.20,1160.35,5797089,6729546265
26-Apr-18,1174.00,1181.65,1160.00,1176.45,5651042,6627322945
27-Apr-18,1180.00,1191.60,1174.20,1185.20,3831685,4536321753
30-Apr-18,1181.70,1207.95,1180.65,1199.50,2755839,3306404000
02-May-18,1198.90,1201.60,1181.00,1197.05,5147521,6139572653
03-May-18,1197.25,1204.70,1176.10,1182.55,2666115,3187761546
04-May-18,1185.00,1186.00,1155.00,1173.10,3011684,3510129249
07-May-18,1181.25,1190.00,1175.50,1183.00,2319480,2740857605
08-May-18,1177.90,1177.90,1161.05,1165.55,2859278,3338246179
09-May-18,1167.50,1176.90,1163.00,1170.70,1891752,2213260047
10-May-18,1176.00,1183.00,1162.85,1168.00,1591431,1866843840
11-May-18,1172.30,1183.20,1166.05,1180.75,1655853,1944465077
14-May-18,1184.35,1191.50,1170.00,1189.30,2216047,2624191631
15-May-18,1188.10,1208.00,1188.10,1194.55,2805987,3357654925
16-May-18,1187.25,1198.00,1184.50,1189.95,3102502,3697718120
17-May-18,1196.00,1197.45,1173.55,1182.90,4759799,5646033906
18-May-18,1183.00,1186.55,1173.00,1183.20,3569830,4216242217
21-May-18,1179.55,1188.40,1170.00,1179.50,4237660,5009804970
22-May-18,1175.00,1198.00,1173.90,1193.85,2818402,3352664150
23-May-18,1195.00,1207.65,1181.50,1184.90,4769221,5715433184
24-May-18,1198.00,1227.55,1198.00,1221.00,4870285,5928236190
25-May-18,1230.10,1248.65,1220.80,1228.30,4450719,5514861308
28-May-18,1231.00,1232.60,1206.00,1214.40,2869897,3495734649
29-May-18,1214.05,1226.55,1206.20,1216.70,1694467,2057107218
30-May-18,1217.00,1228.75,1205.60,1211.70,3161533,3840109182
31-May-18,1211.70,1242.00,1210.25,1231.80,9860170,12129968289
01-Jun-18,1230.40,1246.25,1217.20,1220.80,2499178,3073466731
04-Jun-18,1221.10,1243.00,1212.00,1239.40,2135078,2632848474
05-Jun-18,1242.00,1242.00,1217.00,1220.85,2355431,2888924172
06-Jun-18,1225.20,1241.55,1220.05,1237.45,2019092,2491929870
07-Jun-18,1238.00,1258.00,1238.00,1252.45,3338113,4181210252
08-Jun-18,1248.00,1262.00,1246.05,1260.05,3229939,4061574692
11-Jun-18,1265.55,1270.00,1255.05,1262.40,2585645,3264923421
12-Jun-18,1265.75,1271.25,1250.45,1258.50,3919910,4931300156
13-Jun-18,1266.80,1284.00,1266.80,1274.80,2883464,3676982074
